,osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,building
28789774,28789774,NA,NA,NA,NA,NA,NA,NA,NA,NA
36969762,36969762,NA,Madison,NA,NA,301,53705,WI,Eagle Heights Drive,apartments
36969763,36969763,NA,Madison,NA,NA,308,53705,WI,Eagle Heights Drive,apartments
36969764,36969764,NA,Madison,NA,NA,309,53705,WI,Eagle Heights Drive,apartments
36969765,36969765,NA,Madison,NA,NA,302,53705,WI,Eagle Heights Drive,apartments
36969766,36969766,NA,Madison,NA,NA,303,53705,WI,Eagle Heights Drive,apartments
36969767,36969767,NA,Madison,NA,NA,304,53705,WI,Eagle Heights Drive,apartments
36969768,36969768,NA,Madison,NA,NA,307,53705,WI,Eagle Heights Drive,apartments
36969769,36969769,NA,Madison,NA,NA,306,53705,WI,Eagle Heights Drive,apartments
36969770,36969770,NA,Madison,NA,NA,305,53705,WI,Eagle Heights Drive,apartments
36969771,36969771,NA,Madison,NA,NA,401,53705,WI,Eagle Heights Drive,apartments
36969772,36969772,NA,Madison,NA,NA,402,53705,WI,Eagle Heights Drive,apartments
36969773,36969773,NA,Madison,NA,NA,403,53705,WI,Eagle Heights Drive,apartments
36969774,36969774,NA,Madison,NA,NA,404,53705,WI,Eagle Heights Drive,apartments
36969775,36969775,NA,Madison,NA,NA,405,53705,WI,Eagle Heights Drive,apartments
36969776,36969776,NA,Madison,NA,NA,406,53705,WI,Eagle Heights Drive,apartments
36969777,36969777,NA,Madison,NA,NA,407,53705,WI,Eagle Heights Drive,apartments
36969779,36969779,NA,Madison,NA,NA,610,53705,WI,Eagle Heights Drive,apartments
36969780,36969780,NA,Madison,NA,NA,609,53705,WI,Eagle Heights Drive,apartments
36969781,36969781,NA,Madison,NA,NA,608,53705,WI,Eagle Heights Drive,apartments
36969782,36969782,NA,Madison,NA,NA,607,53705,WI,Eagle Heights Drive,apartments
36969783,36969783,NA,Madison,NA,NA,606,53705,WI,Eagle Heights Drive,apartments
36969784,36969784,NA,Madison,NA,NA,601,53705,WI,Eagle Heights Drive,apartments
36969785,36969785,NA,Madison,NA,NA,602,53705,WI,Eagle Heights Drive,apartments
36969786,36969786,NA,Madison,NA,NA,603,53705,WI,Eagle Heights Drive,apartments
36969787,36969787,NA,Madison,NA,NA,605,53705,WI,Eagle Heights Drive,apartments
36969788,36969788,NA,Madison,NA,NA,604,53705,WI,Eagle Heights Drive,apartments
36969789,36969789,Eagle Heights Community Center,Madison,NA,NA,611,53705,WI,Eagle Heights Drive,yes
36969790,36969790,NA,Madison,NA,NA,207,53705,WI,Eagle Heights Drive,apartments
36969791,36969791,NA,Madison,NA,NA,205,53705,WI,Eagle Heights Drive,apartments
36969792,36969792,NA,Madison,NA,NA,203,53705,WI,Eagle Heights Drive,apartments
36969793,36969793,NA,Madison,NA,NA,202,53705,WI,Eagle Heights Drive,apartments
36969794,36969794,NA,Madison,NA,NA,502,53705,WI,Eagle Heights Drive,apartments
36969795,36969795,NA,Madison,NA,NA,503,53705,WI,Eagle Heights Drive,apartments
36969797,36969797,NA,Madison,NA,NA,501,53705,WI,Eagle Heights Drive,apartments
36969798,36969798,NA,Madison,NA,NA,208,53705,WI,Eagle Heights Drive,apartments
36969799,36969799,NA,Madison,NA,NA,909,53705,WI,Eagle Heights Drive,apartments
36969800,36969800,NA,Madison,NA,NA,913,53705,WI,Eagle Heights Drive,apartments
36969801,36969801,NA,Madison,NA,NA,916,53705,WI,Eagle Heights Drive,apartments
36970106,36970106,NA,Madison,NA,NA,708,53705,WI,Eagle Heights Drive,apartments
36970107,36970107,NA,Madison,NA,NA,707,53705,WI,Eagle Heights Drive,apartments
36970108,36970108,NA,Madison,NA,NA,706,53705,WI,Eagle Heights Drive,apartments
36970109,36970109,NA,Madison,NA,NA,809,53705,WI,Eagle Heights Drive,apartments
36970110,36970110,NA,Madison,NA,NA,506,53705,WI,Eagle Heights Drive,apartments
36970111,36970111,NA,Madison,NA,NA,507,53705,WI,Eagle Heights Drive,apartments
36970112,36970112,NA,Madison,NA,NA,508,53705,WI,Eagle Heights Drive,apartments
36970113,36970113,NA,Madison,NA,NA,509,53705,WI,Eagle Heights Drive,apartments
36970114,36970114,NA,Madison,NA,NA,505,53705,WI,Eagle Heights Drive,apartments
36970115,36970115,NA,Madison,NA,NA,504,53705,WI,Eagle Heights Drive,apartments
36981715,36981715,NA,Madison,NA,NA,201,53705,WI,Eagle Heights Drive,apartments
36981718,36981718,NA,Madison,NA,NA,934,53705,WI,Eagle Heights Drive,apartments
36981719,36981719,NA,Madison,NA,NA,931,53705,WI,Eagle Heights Drive,apartments
36981720,36981720,NA,Madison,NA,NA,928,53705,WI,Eagle Heights Drive,apartments
36981721,36981721,NA,Madison,NA,NA,945,53705,WI,Eagle Heights Drive,apartments
36981722,36981722,NA,Madison,NA,NA,209,53705,WI,Eagle Heights Drive,apartments
36997886,36997886,NA,Madison,NA,NA,702,53705,WI,Eagle Heights Drive,apartments
36997887,36997887,NA,Madison,NA,NA,801,53705,WI,Eagle Heights Drive,apartments
36997888,36997888,NA,Madison,NA,NA,705,53705,WI,Eagle Heights Drive,apartments
36997889,36997889,NA,NA,NA,NA,23,NA,NA,University Houses,apartments
36997890,36997890,NA,NA,NA,NA,25,NA,NA,University Houses,apartments
36997891,36997891,NA,Madison,NA,NA,919,53705,WI,Eagle Heights Drive,apartments
36999139,36999139,NA,NA,NA,NA,15,NA,NA,University Houses,apartments
36999140,36999140,NA,NA,NA,NA,13,NA,NA,University Houses,apartments
36999141,36999141,NA,NA,NA,NA,11,NA,NA,University Houses,apartments
36999143,36999143,NA,NA,NA,NA,1,NA,NA,University Houses,apartments
37000641,37000641,NA,NA,NA,NA,38,NA,NA,University Houses,apartments
37000642,37000642,NA,NA,NA,NA,2,NA,NA,University Houses,apartments
37000643,37000643,NA,NA,NA,NA,18,NA,NA,University Houses,apartments
37000644,37000644,NA,NA,NA,NA,22,NA,NA,University Houses,apartments
37018822,37018822,NA,Madison,NA,NA,107,53705,WI,Eagle Heights Drive,apartments
37018823,37018823,NA,Madison,NA,NA,108,53705,WI,Eagle Heights Drive,apartments
37018824,37018824,NA,Madison,NA,NA,109,53705,WI,Eagle Heights Drive,apartments
37018825,37018825,NA,Madison,NA,NA,106,53705,WI,Eagle Heights Drive,apartments
37018826,37018826,NA,Madison,NA,NA,105,53705,WI,Eagle Heights Drive,apartments
37018827,37018827,NA,Madison,NA,NA,104,53705,WI,Eagle Heights Drive,apartments
37018828,37018828,NA,Madison,NA,NA,103,53705,WI,Eagle Heights Drive,apartments
37018829,37018829,NA,Madison,NA,NA,102,53705,WI,Eagle Heights Drive,apartments
37018830,37018830,NA,Madison,NA,NA,101,53705,WI,Eagle Heights Drive,apartments
37018832,37018832,Lot 131,NA,NA,NA,NA,NA,NA,NA,NA
37058819,37058819,NA,Madison,NA,NA,906,53705,WI,Eagle Heights Drive,apartments
37058820,37058820,NA,Madison,NA,NA,910,53705,WI,Eagle Heights Drive,apartments
37058821,37058821,NA,Madison,NA,NA,911,53705,WI,Eagle Heights Drive,apartments
37092590,37092590,NA,Madison,NA,NA,912,53705,WI,Eagle Heights Drive,apartments
37092592,37092592,NA,NA,NA,NA,17,NA,NA,University Houses,apartments
37092593,37092593,NA,NA,NA,NA,19,NA,NA,University Houses,apartments
37092594,37092594,NA,NA,NA,NA,21,NA,NA,University Houses,apartments
37092663,37092663,NA,NA,NA,NA,27,NA,NA,University Houses,apartments
37092664,37092664,NA,NA,NA,NA,29,NA,NA,University Houses,apartments
37092665,37092665,NA,NA,NA,NA,31,NA,NA,University Houses,apartments
37092666,37092666,NA,NA,NA,NA,26,NA,NA,University Houses,apartments
37092667,37092667,NA,NA,NA,NA,30,NA,NA,University Houses,apartments
37121752,37121752,NA,Madison,NA,NA,908,53705,WI,Eagle Heights Drive,apartments
37121753,37121753,NA,Madison,NA,NA,907,53705,WI,Eagle Heights Drive,apartments
37121754,37121754,NA,Madison,NA,NA,905,53705,WI,Eagle Heights Drive,apartments
37121755,37121755,NA,Madison,NA,NA,904,53705,WI,Eagle Heights Drive,apartments
37121756,37121756,NA,Madison,NA,NA,903,53705,WI,Eagle Heights Drive,apartments
37121757,37121757,NA,Madison,NA,NA,902,53705,WI,Eagle Heights Drive,apartments
37121758,37121758,NA,Madison,NA,NA,901,53705,WI,Eagle Heights Drive,apartments
37225867,37225867,Memorial Union,Madison,US,NA,800,NA,WI,Langdon Street,university
37256547,37256547,Wisconsin Alumni Research Foundation,Madison,US,NA,614,NA,WI,Walnut Street,university
37257115,37257115,Wendt Commons,Madison,US,NA,215,NA,WI,North Randall Avenue,university
37304624,37304624,NA,Madison,NA,NA,917,53705,WI,Eagle Heights Drive,apartments
37304625,37304625,NA,Madison,NA,NA,915,53705,WI,Eagle Heights Drive,apartments
37304626,37304626,NA,Madison,NA,NA,918,53705,WI,Eagle Heights Drive,apartments
37304627,37304627,NA,Madison,NA,NA,920,53705,WI,Eagle Heights Drive,apartments
37304628,37304628,NA,Madison,NA,NA,921,53705,WI,Eagle Heights Drive,apartments
37304629,37304629,NA,Madison,NA,NA,922,53705,WI,Eagle Heights Drive,apartments
37304630,37304630,NA,Madison,NA,NA,923,53705,WI,Eagle Heights Drive,apartments
37304631,37304631,NA,Madison,NA,NA,924,53705,WI,Eagle Heights Drive,apartments
37304632,37304632,NA,Madison,NA,NA,925,53705,WI,Eagle Heights Drive,apartments
37304823,37304823,NA,Madison,NA,NA,946,53705,WI,Eagle Heights Drive,apartments
37304824,37304824,NA,Madison,NA,NA,944,53705,WI,Eagle Heights Drive,apartments
37304825,37304825,NA,Madison,NA,NA,943,53705,WI,Eagle Heights Drive,apartments
37304826,37304826,NA,Madison,NA,NA,942,53705,WI,Eagle Heights Drive,apartments
37304827,37304827,NA,Madison,NA,NA,941,53705,WI,Eagle Heights Drive,apartments
37304828,37304828,NA,Madison,NA,NA,940,53705,WI,Eagle Heights Drive,apartments
37304829,37304829,NA,Madison,NA,NA,939,53705,WI,Eagle Heights Drive,apartments
37304830,37304830,NA,Madison,NA,NA,938,53705,WI,Eagle Heights Drive,apartments
37304831,37304831,NA,Madison,NA,NA,937,53705,WI,Eagle Heights Drive,apartments
37304832,37304832,NA,Madison,NA,NA,936,53705,WI,Eagle Heights Drive,apartments
37304833,37304833,NA,Madison,NA,NA,935,53705,WI,Eagle Heights Drive,apartments
37319652,37319652,NA,Madison,NA,NA,204,53705,WI,Eagle Heights Drive,apartments
37319653,37319653,NA,Madison,NA,NA,206,53705,WI,Eagle Heights Drive,apartments
37319654,37319654,NA,Madison,NA,NA,704,53705,WI,Eagle Heights Drive,apartments
37319655,37319655,NA,Madison,NA,NA,815,53705,WI,Eagle Heights Drive,apartments
37319656,37319656,NA,Madison,NA,NA,812,53705,WI,Eagle Heights Drive,apartments
37319657,37319657,NA,Madison,NA,NA,811,53705,WI,Eagle Heights Drive,apartments
37319658,37319658,NA,Madison,NA,NA,810,53705,WI,Eagle Heights Drive,apartments
37319659,37319659,NA,Madison,NA,NA,813,53705,WI,Eagle Heights Drive,apartments
37319660,37319660,NA,Madison,NA,NA,814,53705,WI,Eagle Heights Drive,apartments
37319661,37319661,NA,Madison,NA,NA,818,53705,WI,Eagle Heights Drive,apartments
37319662,37319662,NA,Madison,NA,NA,817,53705,WI,Eagle Heights Drive,apartments
37319663,37319663,NA,Madison,NA,NA,816,53705,WI,Eagle Heights Drive,apartments
37319664,37319664,NA,Madison,NA,NA,819,53705,WI,Eagle Heights Drive,apartments
37319665,37319665,NA,Madison,NA,NA,802,53705,WI,Eagle Heights Drive,apartments
37319666,37319666,NA,Madison,NA,NA,803,53705,WI,Eagle Heights Drive,apartments
37319667,37319667,NA,Madison,NA,NA,804,53705,WI,Eagle Heights Drive,apartments
37319668,37319668,NA,Madison,NA,NA,805,53705,WI,Eagle Heights Drive,apartments
37319669,37319669,NA,Madison,NA,NA,806,53705,WI,Eagle Heights Drive,apartments
37319670,37319670,NA,Madison,NA,NA,807,53705,WI,Eagle Heights Drive,apartments
37319671,37319671,NA,Madison,NA,NA,808,53705,WI,Eagle Heights Drive,apartments
37319672,37319672,NA,Madison,NA,NA,703,53705,WI,Eagle Heights Drive,apartments
37319673,37319673,NA,Madison,NA,NA,701,53705,WI,Eagle Heights Drive,apartments
37516017,37516017,Stock Pavilion,Madison,NA,NA,1675,NA,WI,Linden Drive,university
37516020,37516020,Russell Laboratories,Madison,NA,NA,NA,NA,WI,Linden Drive,university
37516023,37516023,DeLuca Biochemistry Laboratories,Madison,NA,NA,433,NA,WI,Babcock Drive,university
37550631,37550631,Jones House,Madison,US,NA,655,NA,WI,Elm Drive,dormitory
37550632,37550632,Sullivan Hall,Madison,US,NA,635,NA,WI,Elm Drive,dormitory
37550804,37550804,Agricultural Engineering Laboratory,Madison,NA,NA,540,NA,WI,Elm Drive,university
37550805,37550805,Animal Science Building,Madison,NA,NA,1675,NA,WI,Observatory Drive,university
37550807,37550807,Hanson Biomedical Sciences Building,NA,NA,NA,NA,NA,NA,NA,university
37550815,37550815,Steenbock Memorial Library,Madison,NA,NA,550,NA,WI,Babcock Drive,university
37552853,37552853,NA,Madison,NA,NA,927,53705,WI,Eagle Heights Drive,apartments
37552854,37552854,NA,Madison,NA,NA,933,53705,WI,Eagle Heights Drive,apartments
37552855,37552855,NA,Madison,NA,NA,932,53705,WI,Eagle Heights Drive,apartments
37552856,37552856,NA,Madison,NA,NA,930,53705,WI,Eagle Heights Drive,apartments
37552857,37552857,NA,Madison,NA,NA,929,53705,WI,Eagle Heights Drive,apartments
37552858,37552858,NA,Madison,NA,NA,926,53705,WI,Eagle Heights Drive,apartments
37691885,37691885,1910 Linden Dr.,Madison,NA,NA,1910,NA,WI,Linden Drive,university
37691887,37691887,Poultry Research Laboratory,Madison,NA,NA,1925,NA,WI,Observatory Drive,university
37691896,37691896,Biotron Laboratory,Madison,NA,NA,2115,NA,WI,Observatory Drive,university
37691897,37691897,NA,NA,NA,NA,NA,NA,NA,NA,NA
37722267,37722267,Livestock Laboratory,Madison,NA,NA,1810,NA,WI,Linden Drive,university
37723611,37723611,Science Hall,Madison,US,NA,550,NA,WI,North Park Street,university
37723613,37723613,Radio Hall,Madison,US,NA,975,NA,WI,Observatory Drive,university
37727226,37727226,NA,NA,NA,NA,NA,NA,NA,NA,NA
37727228,37727228,Van Hise Hall,Madison,US,NA,1220,NA,WI,Linden Drive,university
37748612,37748612,NA,NA,NA,NA,NA,NA,NA,NA,NA
37749296,37749296,William H. Sewell Social Sciences Building,Madison,US,NA,1180,NA,WI,Observatory Drive,university
37749297,37749297,NA,NA,NA,NA,NA,NA,NA,NA,NA
37749299,37749299,Water Science & Engineering Laboratory,Madison,NA,NA,660,NA,WI,North Park Street,university
37749300,37749300,Helen C. White Hall,Madison,US,NA,600,NA,WI,North Park Street,university
37749302,37749302,Arthur D. Hasler Laboratory of Limnology,Madison,NA,NA,680,NA,WI,North Park Street,university
37749303,37749303,Lot 8,NA,NA,NA,NA,NA,NA,NA,NA
37751417,37751417,Washburn Observatory,Madison,US,NA,1401,NA,WI,Observatory Drive,university
37751511,37751511,Waters Residence Hall,Madison,NA,NA,1200,53706,WI,Observatory Drive,dormitory
37751913,37751913,North Hall,Madison,US,NA,1050,NA,WI,Bascom Mall,university
37751914,37751914,Education Building,Madison,NA,NA,1000,NA,WI,Bascom Mall,university
37804098,37804098,Armory and Gymnasium,Madison,US,NA,716,NA,WI,Langdon Street,university
37804099,37804099,Wisconsin Historical Society,Madison,NA,NA,816,NA,WI,State Street,university
37862319,37862319,Chamberlin House,Madison,US,NA,665,NA,WI,Elm Drive,dormitory
37862320,37862320,Swenson House,Madison,US,NA,645,NA,WI,Elm Drive,dormitory
37862321,37862321,Bradley Residence Hall,Madison,US,NA,650,53706,WI,Elm Drive,dormitory
37862322,37862322,Phillips Residence Hall,Madison,US,NA,1950,53706-1132,WI,Willow Drive,dormitory
37862323,37862323,Goodnight Hall,Madison,NA,NA,1975,53706-1103,WI,Willow Drive,university
37924692,37924692,NA,NA,NA,NA,6,NA,NA,University Houses,apartments
37924693,37924693,NA,NA,NA,NA,34,NA,NA,University Houses,apartments
37924694,37924694,NA,NA,NA,NA,14,NA,NA,University Houses,apartments
37965212,37965212,Slichter Residence Hall,Madison,NA,NA,625,NA,WI,Babcock Drive,dormitory
37965574,37965574,Pyle Center,Madison,US,NA,702,NA,WI,Langdon Street,university
37966230,37966230,NA,NA,NA,NA,NA,NA,NA,NA,NA
37970663,37970663,Cole Hall,Madison,US,NA,625,NA,WI,Elm Drive,dormitory
